method,device,scenario_id,home_window,pmax,e_need,cost_15min,cost_60min,delta_eur,delta_pct,cost_ctrl_only,cost_price_only,status_15min,status_60min,status_ctrl_only,status_price_only,row_status,min_temp_15,min_temp_60,violations_15,violations_60,daily_hotwater_kwh,events
OPT,EV,EV_2025-10-07_P3.6_E10,17:00-08:00,3.6,10.0,0.06666666795951348,0.06666666735743877,0.0,0.0,0.0666666673574388,0.06666666735743877,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-07_P3.6_E20,17:00-08:00,3.6,20.0,0.14027555568569294,0.1409444448537645,0.0006688891680715625,0.4745764678881539,0.14094444485376448,0.1409444448537645,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-07_P3.6_E30,17:00-08:00,3.6,30.0,0.25535333357548784,0.2574500003886099,0.002096666813122039,0.8143976733180072,0.2574500003886098,0.2574500003886098,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-07_P11_E10,17:00-08:00,11.0,10.0,0.06666666707909685,0.06666666705357227,0.0,0.0,0.06666666705357226,0.06666666705357227,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-07_P11_E20,17:00-08:00,11.0,20.0,0.13333333335141725,0.13333333334978476,0.0,0.0,0.1333333333497847,0.13333333334978467,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-07_P11_E30,17:00-08:00,11.0,30.0,0.2000000031794067,0.20000000168936088,0.0,0.0,0.200000001689361,0.2000000016893609,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-08_P3.6_E10,17:00-08:00,3.6,10.0,0.590386666954882,0.5992444466166207,0.00885777966173873,1.4781579890728103,0.5992444466166208,0.5992444466166205,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-08_P3.6_E20,17:00-08:00,3.6,20.0,1.2388033337366806,1.2653033353894307,0.026500001652750127,2.094359582526039,1.265303335389432,1.2653033353894312,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-08_P3.6_E30,17:00-08:00,3.6,30.0,2.203393333930653,2.2307033334513404,0.027309999520687356,1.2242775231986305,2.2307033334513404,2.2307033334513404,optimal,optimal,optimal,optimal,ok,,,,,,
OPT,EV,EV_2025-10-08_P11_E10,17:00-08:00,11.0,10.0,0.5714972226201994,0.5889361115778267,0.01743888895762724,2.9610833186823062,0.5889361115778268,0.5889361115778268,optimal,optimal,optimal,optimal,ok,,,,,,
